config,threads,Kth,num_keyframes,build_ms,probe_ms,search_ms,total_ms,avg_recall,speedup_vs_seq
SEQ,1,-1,0,185.18,0,1530.6,1715.78,0.212083,1
ALG1,2,-1,0,126.901,0,786.428,913.328,0.212083,1.8786
ALG1,4,-1,0,124.827,0,415.686,540.514,0.212083,3.17434
ALG1,8,-1,0,148.72,0,226.788,375.507,0.212083,4.56922
ALG1,16,-1,0,149.596,0,153.154,302.749,0.212083,5.66731
ALG2,2,0,50,133.428,94.6001,782.088,1010.12,0.212083,1.69859
ALG2,2,5,37,98.5052,94.1321,734.203,926.841,0.209051,1.85121
ALG2,2,10,24,64.1297,94.4386,678.55,837.119,0.203764,2.04962
ALG2,2,20,14,38.2718,94.7705,646.684,779.726,0.20255,2.20048
ALG2,2,40,6,16.909,93.9973,599.01,709.917,0.194176,2.41687
ALG2,2,80,1,2.81868,93.8455,494.627,591.291,0.138175,2.90174
ALG2,4,0,50,133.764,94.5992,417.195,645.558,0.212083,2.65782
ALG2,4,5,37,97.5367,94.5574,391.52,583.614,0.209051,2.93991
ALG2,4,10,24,64.2875,94.7677,364.177,523.232,0.203764,3.27918
ALG2,4,20,14,39.0017,95.5241,348.878,483.404,0.20255,3.54936
ALG2,4,40,6,16.9607,94.8872,321.49,433.338,0.194176,3.95944
ALG2,4,80,1,2.92858,95.1005,267.012,365.042,0.138175,4.70022
ALG2,8,0,50,158.768,95.1213,229.503,483.392,0.212083,3.54945
ALG2,8,5,37,115.702,94.7261,218.597,429.025,0.209051,3.99925
ALG2,8,10,24,74.5087,94.6466,203.45,372.605,0.203764,4.60481
ALG2,8,20,14,44.9025,94.3525,191.155,330.41,0.20255,5.19287
ALG2,8,40,6,19.556,94.2308,173.664,287.45,0.194176,5.96895
ALG2,8,80,1,3.41736,93.8321,149.695,246.945,0.138175,6.94802
ALG2,16,0,50,157.101,94.4367,153.31,404.848,0.212083,4.23808
ALG2,16,5,37,116.674,94.2471,144.82,355.741,0.209051,4.8231
ALG2,16,10,24,74.8513,94.1501,135.706,304.708,0.203764,5.63089
ALG2,16,20,14,44.8371,94.1189,130.106,269.062,0.20255,6.37687
ALG2,16,40,6,19.4999,94.4932,121.91,235.903,0.194176,7.27322
ALG2,16,80,1,3.47436,93.7267,104.674,201.875,0.138175,8.49918
