threads,Kth,num_frames,num_keyframes,total_full_build_ms,total_probe_build_ms,total_search_ms,total_pipeline_ms,avg_recall
1,0,50,50,182.537,94.9669,1521.88,1799.38,0.212083
1,5,50,37,134.549,95.3926,1424.82,1654.76,0.209051
1,10,50,24,87.5851,95.9425,1334.48,1518.01,0.203764
1,20,50,14,51.4099,94.5348,1242.67,1388.62,0.20255
1,40,50,6,22.4992,94.9187,1147.37,1264.79,0.194176
1,80,50,1,4.05065,95.0829,948.575,1047.71,0.138175
1,160,50,1,4.0053,95.2826,949.308,1048.6,0.138175
1,320,50,1,4.00757,95.5627,955.861,1055.43,0.138175
1,640,50,1,4.03778,94.6041,949.709,1048.35,0.138175
1,1280,50,1,3.90402,94.8467,946.473,1045.22,0.138175
2,0,50,50,130.895,94.6697,781.12,1006.68,0.212083
2,5,50,37,97.0515,94.9639,735.875,927.89,0.209051
2,10,50,24,64.1889,95.3914,684.998,844.579,0.203764
2,20,50,14,37.2828,94.5137,644.283,776.08,0.20255
2,40,50,6,16.5622,94.5649,597.581,708.708,0.194176
2,80,50,1,2.83792,94.2823,495.516,592.636,0.138175
2,160,50,1,2.816,94.1895,493.423,590.428,0.138175
2,320,50,1,2.97213,94.5049,495.065,592.542,0.138175
2,640,50,1,2.76742,96.0166,497.919,596.703,0.138175
2,1280,50,1,2.8935,95.3671,500.084,598.344,0.138175
4,0,50,50,133.678,95.0943,411.181,639.953,0.212083
4,5,50,37,99.312,94.1878,387.268,580.768,0.209051
4,10,50,24,63.5323,94.0257,357.603,515.161,0.203764
4,20,50,14,38.1353,94.6074,348.667,481.41,0.20255
4,40,50,6,16.7679,94.4965,316.306,427.57,0.194176
4,80,50,1,2.88459,94.2967,263.818,360.999,0.138175
4,160,50,1,2.89668,94.5555,264.324,361.776,0.138175
4,320,50,1,2.92598,94.7171,264.902,362.545,0.138175
4,640,50,1,2.92642,94.8756,263.665,361.467,0.138175
4,1280,50,1,2.90207,95.6284,266.27,364.8,0.138175
8,0,50,50,153.555,94.8308,230.476,478.861,0.212083
8,5,50,37,114.161,95.0231,209.888,419.073,0.209051
8,10,50,24,73.3394,94.3673,196.33,364.036,0.203764
8,20,50,14,43.7471,94.6858,188.605,327.038,0.20255
8,40,50,6,19.3361,94.8567,172.03,286.223,0.194176
8,80,50,1,3.47689,95.0001,143.249,241.726,0.138175
8,160,50,1,3.32591,95.331,143.112,241.769,0.138175
8,320,50,1,3.39244,94.2462,142.12,239.759,0.138175
8,640,50,1,3.36983,94.3963,141.971,239.737,0.138175
8,1280,50,1,3.28966,93.9483,141.81,239.048,0.138175
16,0,50,50,155.163,97.4064,151.987,404.556,0.212083
16,5,50,37,114.294,95.5331,142.409,352.236,0.209051
16,10,50,24,73.3405,94.8615,132.909,301.111,0.203764
16,20,50,14,43.7179,95.2562,127.899,266.873,0.20255
16,40,50,6,19.2486,94.4055,119.696,233.35,0.194176
16,80,50,1,3.29966,94.2502,102.384,199.934,0.138175
16,160,50,1,3.4505,96.395,103.96,203.805,0.138175
16,320,50,1,3.3637,95.0062,103.162,201.532,0.138175
16,640,50,1,3.4291,95.5102,102.635,201.574,0.138175
16,1280,50,1,3.35511,95.9003,102.331,201.586,0.138175
